"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FNDC11",-0.319542557148609,0.381822493226753,-2.348900429902,0.0205784822690876,0.999798845119145,-3.24118223986175
"LINC02492",0.352737603835863,0.361217528557915,2.34868308985125,0.0205899174775656,0.999798845119145,-3.24156448511252
"TOM1L2",-0.268223017620054,2.99603199702283,-2.34617371427983,0.0207223539114337,0.999798845119145,-3.24597556252112
"PBLD",-0.461652478723719,1.99947499851056,-2.34557684944736,0.0207539650106888,0.999798845119145,-3.24702413973582
"BCL7A",-0.447774647838026,1.69154088472998,-2.34506700490411,0.0207810010775013,0.999798845119145,-3.24791965180238
"ACTR5",0.562558018886692,1.68278130877978,2.34366278361811,0.0208556251202512,0.999798845119145,-3.25038519255341
"ACAA1",0.439837607848088,2.7262809758082,2.33953313219905,0.0210764590778989,0.999798845119145,-3.25762847728552
"VASN",0.395824288967396,0.551157869492163,2.33930023835512,0.0210889743996186,0.999798845119145,-3.25803662884054
"SLC43A3",0.464055330054781,1.54943716576943,2.33315602144746,0.0214215327925791,0.999798845119145,-3.26879148985142
"RBP5",0.619132075427882,2.3777780640301,2.33207802440741,0.0214803546553597,0.999798845119145,-3.27067583326889
"RAB33A",-0.678762488390555,3.13544396589785,-2.33068236761251,0.0215567215751913,0.999798845119145,-3.27311429972383
"MRPL30P1",-0.573920142524147,0.903110901241242,-2.32651980019965,0.0217859114349948,0.999798845119145,-3.28037936949198
"BLOC1S4",0.586207675533287,2.24134502063639,2.32357733679798,0.0219492165321635,0.999798845119145,-3.28550799582925
"RNPEPL1",0.343628086831204,4.40726285504255,2.32037557976249,0.0221281375071392,0.999798845119145,-3.29108201571941
"UAP1",0.45931573247121,2.83302702465559,2.31833351543365,0.0222429226840969,0.999798845119145,-3.29463353170205
"SMPDL3A",0.582366009830582,1.96695708684497,2.31534042622517,0.0224121134572668,0.999798845119145,-3.29983403028425
"INPP5B",-0.250465046989077,2.96175949097153,-2.31488948202064,0.0224377020808774,0.999798845119145,-3.30061702927161
"CYGB",0.377074731049342,0.568976517387874,2.31406271963599,0.022484683193342,0.999798845119145,-3.30205222978064
"LINC01217",0.406910172336586,0.477421295052349,2.31270101132143,0.0225622517418958,0.999798845119145,-3.30441506494651
"SCAT8",0.584632517406214,1.16875629919662,2.30920456049803,0.0227625046273476,0.999798845119145,-3.31047644010621
"FANCG",0.40211156167078,1.25051131220182,2.30811100604382,0.0228254564423857,0.999798845119145,-3.31237052954222
"SAC3D1",0.632223157271628,2.18609688732038,2.30805384257754,0.0228287513396263,0.999798845119145,-3.31246951749919
"LINC02783",-0.355483151481487,0.392529760897453,-2.30598302247208,0.0229483959284032,0.999798845119145,-3.31605401331205
"CSGALNACT2",0.280280872773621,4.55226460210146,2.30392218534718,0.0230680113667347,0.999798845119145,-3.3196183875381
"ANKH",-0.366919815060765,2.41079599829198,-2.30289487249843,0.0231278435077667,0.999798845119145,-3.32139414408879
"RCAN3",-0.374337531276097,4.47947602489387,-2.30221862920258,0.0231673033623287,0.999798845119145,-3.32256267647538
"TIMM10B",0.487853941110318,3.72339813575952,2.30170069787478,0.0231975655159111,0.999798845119145,-3.32345744301276
"ANAPC2",-0.419934032446164,2.29192098370213,-2.30087037654933,0.0232461528506073,0.999798845119145,-3.32489151365889
"ABTB1",0.258639999403093,4.74605763608357,2.2961398524419,0.0235246774269254,0.999798845119145,-3.33305294387362
"ERG28",0.55582485446171,1.73611026689512,2.29401282658998,0.0236508664060487,0.999798845119145,-3.3367177629819
"MGST2",0.487246643709476,1.88759253613353,2.2864078092739,0.0241069266260808,0.999798845119145,-3.34979629102529
"RN7SL326P",0.584247952409191,1.16565040069435,2.28349066604461,0.0242839027134133,0.999798845119145,-3.35480269996035
"RPSAP3",-0.424305556035197,0.662354795201598,-2.28040756368004,0.0244721866520188,0.999798845119145,-3.36008773381518
"RPS4X",-0.489264576681689,9.8620742427438,-2.27847592495508,0.0245908032563031,0.999798845119145,-3.36339569134574
"AMZ1",-0.309419016909063,0.498125634844968,-2.27765342664145,0.0246414636466545,0.999798845119145,-3.36480347181263
"SPATA21",0.399489128185642,0.535339874153253,2.2774120752638,0.0246563466534859,0.999798845119145,-3.36521648053718
"TRBV25-1",-0.616659948770533,0.76778864558839,-2.277242509851,0.0246668076759715,0.999798845119145,-3.36550662331303
"TIPARP",0.412470880151657,3.15196907578484,2.26629373109226,0.0253505733528211,0.999798845119145,-3.38420021752721
"DSTNP1",-0.60842015962251,0.866566934275795,-2.26498039915294,0.0254336990169137,0.999798845119145,-3.38643715462087
